dataset,loss,degree_n,max_error
sin(10x),huber,1,1.100199580192566
sin(10x),huber,2,1.100199580192566
sin(10x),huber,3,1.0141212940216064
sin(10x),huber,4,1.0141212940216064
sin(10x),huber,5,1.1988945007324219
sin(10x),huber,6,1.1988945007324219
sin(10x),huber,7,0.8719792366027832
sin(10x),huber,8,0.8719854354858398
sin(10x),huber,9,0.3668513298034668
sin(10x),huber,10,0.3668818473815918
sin(10x),huber,11,0.07864534854888916
sin(10x),huber,12,0.07867586612701416
sin(10x),huber,13,0.013960272073745728
sin(10x),huber,14,0.014163613319396973
sin(10x),huber,15,0.03534281253814697
sin(10x),huber,16,0.035153597593307495
sin(10x),huber,17,0.06142008304595947
sin(10x),huber,18,0.06114542484283447
sin(10x),huber,19,0.015124082565307617
sin(10x),huber,20,0.014943808317184448
sin(10x),huber,21,0.025377988815307617
sin(10x),huber,22,0.025500059127807617
sin(10x),huber,23,0.0379393994808197
sin(10x),huber,24,0.03821876645088196
sin(10x),huber,25,0.0528014600276947
sin(10x),huber,26,0.0526183545589447
sin(10x),huber,27,0.015338599681854248
sin(10x),huber,28,0.014857947826385498
sin(10x),huber,29,0.021709144115447998
sin(10x),huber,30,0.021770179271697998
Runge function,huber,1,0.9387383460998535
Runge function,huber,2,0.8684473037719727
Runge function,huber,3,0.8684473037719727
Runge function,huber,4,0.802603006362915
Runge function,huber,5,0.8026028871536255
Runge function,huber,6,0.7415043115615845
Runge function,huber,7,0.7415046691894531
Runge function,huber,8,0.6849071383476257
Runge function,huber,9,0.6849076151847839
Runge function,huber,10,0.6325086355209351
Runge function,huber,11,0.6325001120567322
Runge function,huber,12,0.5839813947677612
Runge function,huber,13,0.5839406847953796
Runge function,huber,14,0.6012566089630127
Runge function,huber,15,0.6012764573097229
Runge function,huber,16,0.5552544593811035
Runge function,huber,17,0.5551745295524597
Runge function,huber,18,0.5687849521636963
Runge function,huber,19,0.5687878131866455
Runge function,huber,20,0.5803488492965698
Runge function,huber,21,0.5803593397140503
Runge function,huber,22,0.5366300344467163
Runge function,huber,23,0.5367037653923035
Runge function,huber,24,0.5464428663253784
Runge function,huber,25,0.5463816523551941
Runge function,huber,26,0.5550351142883301
Runge function,huber,27,0.5550293922424316
Runge function,huber,28,0.5627946257591248
Runge function,huber,29,0.5627949237823486
Runge function,huber,30,0.56975257396698
Heaviside step function,huber,1,0.4992567300796509
Heaviside step function,huber,2,0.49925678968429565
Heaviside step function,huber,3,0.4986058473587036
Heaviside step function,huber,4,0.49860596656799316
Heaviside step function,huber,5,0.4979664087295532
Heaviside step function,huber,6,0.49796605110168457
Heaviside step function,huber,7,0.49732887744903564
Heaviside step function,huber,8,0.4973286986351013
Heaviside step function,huber,9,0.4966919720172882
Heaviside step function,huber,10,0.4966941177845001
Heaviside step function,huber,11,0.496053546667099
Heaviside step function,huber,12,0.4960578680038452
Heaviside step function,huber,13,0.49541527032852173
Heaviside step function,huber,14,0.4954492747783661
Heaviside step function,huber,15,0.4956664741039276
Heaviside step function,huber,16,0.49569132924079895
Heaviside step function,huber,17,0.49584656953811646
Heaviside step function,huber,18,0.49585139751434326
Heaviside step function,huber,19,0.4952755868434906
Heaviside step function,huber,20,0.4952962398529053
Heaviside step function,huber,21,0.49540257453918457
Heaviside step function,huber,22,0.49538344144821167
Heaviside step function,huber,23,0.49552857875823975
Heaviside step function,huber,24,0.4955192804336548
Heaviside step function,huber,25,0.4956595003604889
Heaviside step function,huber,26,0.49564510583877563
Heaviside step function,huber,27,0.49504709243774414
Heaviside step function,huber,28,0.4951333999633789
Heaviside step function,huber,29,0.49515900015830994
Heaviside step function,huber,30,0.4951407313346863
sin(10x),lp,1,1.116296410560608
sin(10x),lp,2,1.1162965297698975
sin(10x),lp,3,1.0245217084884644
sin(10x),lp,4,1.0245215892791748
sin(10x),lp,5,1.2856836318969727
sin(10x),lp,6,1.2856829166412354
sin(10x),lp,7,1.0029797554016113
sin(10x),lp,8,1.0029926300048828
sin(10x),lp,9,0.5101466178894043
sin(10x),lp,10,0.5101923942565918
sin(10x),lp,11,0.0988621711730957
sin(10x),lp,12,0.0988621711730957
sin(10x),lp,13,0.015902847051620483
sin(10x),lp,14,0.016218572854995728
sin(10x),lp,15,0.04185333847999573
sin(10x),lp,16,0.04205542802810669
sin(10x),lp,17,0.07362711429595947
sin(10x),lp,18,0.07368814945220947
sin(10x),lp,19,0.017748594284057617
sin(10x),lp,20,0.017736762762069702
sin(10x),lp,21,0.030493110418319702
sin(10x),lp,22,0.030310004949569702
sin(10x),lp,23,0.0481933057308197
sin(10x),lp,24,0.04813629388809204
sin(10x),lp,25,0.0701507031917572
sin(10x),lp,26,0.0699218213558197
sin(10x),lp,27,0.018840491771697998
sin(10x),lp,28,0.09053835272789001
sin(10x),lp,29,0.025798499584197998
sin(10x),lp,30,0.025737464427947998
Runge function,lp,1,0.9778009057044983
Runge function,lp,2,0.9388130903244019
Runge function,lp,3,0.9388130903244019
Runge function,lp,4,0.8919439315795898
Runge function,lp,5,0.8919439911842346
Runge function,lp,6,0.8409146070480347
Runge function,lp,7,0.8409148454666138
Runge function,lp,8,0.7914385795593262
Runge function,lp,9,0.7914383411407471
Runge function,lp,10,0.7379546165466309
Runge function,lp,11,0.73795485496521
Runge function,lp,12,0.693760871887207
Runge function,lp,13,0.6938075423240662
Runge function,lp,14,0.7128322124481201
Runge function,lp,15,0.7128282189369202
Runge function,lp,16,0.659172534942627
Runge function,lp,17,0.6592361330986023
Runge function,lp,18,0.675216794013977
Runge function,lp,19,0.675269365310669
Runge function,lp,20,0.6890489459037781
Runge function,lp,21,0.6890884041786194
Runge function,lp,22,0.6353855729103088
Runge function,lp,23,0.6352322697639465
Runge function,lp,24,0.6475052237510681
Runge function,lp,25,0.6473921537399292
Runge function,lp,26,0.6585991382598877
Runge function,lp,27,0.6586055755615234
Runge function,lp,28,0.6676923036575317
Runge function,lp,29,0.6676498651504517
Runge function,lp,30,0.6758546829223633
Heaviside step function,lp,1,0.49927622079849243
Heaviside step function,lp,2,0.49927622079849243
Heaviside step function,lp,3,0.4986947774887085
Heaviside step function,lp,4,0.4986947774887085
Heaviside step function,lp,5,0.498134970664978
Heaviside step function,lp,6,0.4981344938278198
Heaviside step function,lp,7,0.4975750744342804
Heaviside step function,lp,8,0.4975754916667938
Heaviside step function,lp,9,0.4970300793647766
Heaviside step function,lp,10,0.4970379173755646
Heaviside step function,lp,11,0.49647486209869385
Heaviside step function,lp,12,0.496487021446228
Heaviside step function,lp,13,0.49594688415527344
Heaviside step function,lp,14,0.49591296911239624
Heaviside step function,lp,15,0.49613693356513977
Heaviside step function,lp,16,0.49614784121513367
Heaviside step function,lp,17,0.49631643295288086
Heaviside step function,lp,18,0.4963037967681885
Heaviside step function,lp,19,0.4957888722419739
Heaviside step function,lp,20,0.49577590823173523
Heaviside step function,lp,21,0.49592605233192444
Heaviside step function,lp,22,0.49595534801483154
Heaviside step function,lp,23,0.4960207939147949
Heaviside step function,lp,24,0.49600180983543396
Heaviside step function,lp,25,0.49613383412361145
Heaviside step function,lp,26,0.496126264333725
Heaviside step function,lp,27,0.4962196946144104
Heaviside step function,lp,28,0.49622842669487
Heaviside step function,lp,29,0.4957655072212219
Heaviside step function,lp,30,0.49575191736221313
